Question,Answer,Category,Sub Category
What is the tracking set up for Seedtag Performance,At least one tracking per size + 1 per strategy. We activate at least 4 strategies and we recommend 8 different sizes (4 x 8 = 20 is the minimum amount of trackers we recommend).,Trackings,"Pixel setup, trackers"
difference between trackers and tags ,"We use ""tag"" or ""tracker"" indistinctly. We should recognice the different trackings (redirect, impressions tracker, click command, 3rd party verificator impression pixels, wrapped redirect, etc.) and also the urls with utms. See more info in ""additional Info below the questions).
",Trackings,"trackers, tags"
is it necessary to receive different trackings when KPI is CTR/delivery? ,"It's always a recomendation have different trackers is we should measure the succeess of the campaign with the client data. Have different trackings is the only way to split the info by strategy/size, etc on the client's adserver/GA report.",Trackings,trackers
is it possible to optimize with 4-5 trackers per motive? ,"What do you mean per motive?? Resivar comentar la diferencia entre size, creatividad y estrategia",Trackings,trackers
is it mandatory to receive different trackings per size?,"It's not mandatory, but we need to receive trackings split by size and strategy if the success of the campaign will be measured with the client's adserver or GA. It's the way we have to split the data as we can see it on the DSP and optimize the campaign properly.
",Trackings,
How many trackers would we need if the campaign has both formats and have the same KPI?,"One per size x Strategy x Format. So we'll have 8 sizes x 4 strategies x 2 formats. This is our recommendation, but we can activate the campaign using the same trackers if the objective (for example) is delivery and we don't need to report any data split by format. (When we talked about ""both formats"" here we talk about CPD and CND).",Trackings,
How many trackers would we need if the campaign has both formats and have the different KPI?,"If the campaign has 2 formats and 2 different KPIs, then we should have 2 different Jira tkt, 2 different campaigns on the DSP and different trackers per format, size and strategy.",Trackings,
Do we need any different number of trackings and type of trackings depending on the adserver client has?,"No, every adserver is the same for us, also GA works ""same way"". If the data will be measured by an adserver we need at least > 8 sizes x 4 strategies; if the data will be measured by GA we need the urls with utms, at least > 8 sizes x 4 strategies.",Trackings,
Do we need the impression tracker and click tracker for all the campaigns?,"No, we need both if the client wants to measure both metrics on the adserver. If they only want to measure clicks, we can work with the click tracker. If the campaign has a lead objective, we can't measure the post view conversions if we don't have the impression pixel implemented.",Trackings,
How many events/conversions can we accurately track within a site?,We can track as many events/conversions we need if we can implement all the pixels to measure them. 1 event/conversion = 1 pixel.,Trackings,
Should we receive different trackers per strategy or only per size?,We should receive different trrackers per strategy and per size if we need to measure the success of the campaign with the data from the client so we can optimise all the dimensions on the DSP with this data.,Trackings,
